paragraph,label
2021 年全球半導體產業同步面臨機會與挑戰，數位轉「提升及豐富大眾生活」是公司成立以來秉持的使命，型加速帶動各類市場的強勁需求，也讓全球半導體產業聯發科技設計的晶片每年在全球驅動超過 20 億台電子鏈面臨供貨吃緊的壓力。聯發科技也在全球員工的齊心產品，以親民實用的理念推廣科技普及，強化人與人的努力下，於全年營收及每股盈餘再度創下新高，產業排連結，讓世界上的每個人都能享有科技帶來的機會,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
名位居全球第四大無工廠晶片設計公司，並由前一年的期待透過科技創新能力結合永續精神，與生態圈的夥伴全球第八大躍升為全球第七大半導體公司,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
們共同實踐地球公民的責任,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
聯發科技在追求營運績效的同時，也致力永續發展的平2022 年是聯發科技成立的 25 周年，我們從草創時不衡實踐。在創新技術上，我們透過尖端技術的研發，運到百人規模，成長為營運據點遍布全球 36 個城市，擁用科技改善人類生活，並與世界產生更豐富的連結,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
有超過一萬九千名員工的跨國集團,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
人才與多元團隊上，我們串聯產官學資源，致力培養高廣納國際優秀人才，持續累積豐沛的能量，更不斷思考科技產業人才，並深化多元共融，打造凝聚同仁向心力及實踐如何讓全人類的生活，因聯發科技的存在越來越的優質職場環境。在社會共榮方面，我們多年來推動各好。未來，我們也將延續過去 25 年的成果，以行動展級學校的人才培育計畫，鼓勵社會創新，長期推動科技現對經濟、社會與環境的影響及貢獻，為永續發展的願教育與科技創新的普及。最後，在環境保護方面，我們景持續努力,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
雖沒有工廠，但仍響應各界綠色環保減碳倡議，發揮對供應商的影響力，攜手降低碳排放，打造綠色供應鏈,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
2021 Sustainability Report人才創新公司治理綠色營運在地實踐附錄全球觀關於聯發科技聯發科技成立於 1997 年，總部設於臺灣，是一家無晶圓廠的晶片設計服務公司。提供智慧家庭應用、無線連結技術、智慧物聯網、客製化晶片及智慧行動裝置等跨平台晶片設計方案，為全球第四大 IC 設計企業,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
際性的視野，運籌全球優秀人才資源，以「全球布局、在地實踐」的方式，為世界各地的客戶提供最即時且優質的產品及服務，以永續發展的態度持續追求所在產業的領導地位,"[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
我們以六大面向作為永續發展的基礎，「全球觀、創新、人才、公司治理、綠色營運及在地實踐」，這就是我們創業以來日常營運管理的基石；另外，也期許每位員工秉持公司的六大核心價值，誠信、客戶導向、勇氣深思、創新、兼容並進、不斷精進，為共同使命與願景努力,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
聯發科技致力成為一家全球營運、技術領先的科技公司,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
藉由不斷提供最具創新性的產品和服務，使客戶獲得成功,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
為出發點，積極於全球觀、創新、人才、公司治理、綠色營運與在地實踐這六大面向努力，在追求永續共好的道路上持續邁進，成為帶領社會向上的正向力量,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]"
聯發科技沒有工廠 (fabless)，是一間以技術深耕、創新取勝的高知識密集公司。我們致力於綠色創新，透過強化晶片設計方式，降低消費者使用消費電子產品時的耗電；2021 年，聯發科技提供的晶片較前一年度平均降低 23%的能耗比率，可供應臺灣約 17 萬戶家庭的一年的用電量。我們積極實踐綠色營運，響應政府綠電政策與 COP26減碳目標，除完成 ISO 14064 溫室氣體委外查證外，還獲得 ISO 50001 能源管理系統認證，並帶動供應鏈夥伴，已連續兩年達到溫室氣體排放量至少下降 2% 的目標,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]"
